customer_id,plan_type,region,churn,satisfaction
1,standard,south,no,low
2,standard,north,no,medium
3,basic,east,no,medium
4,premium,south,yes,medium
5,standard,north,no,high
6,standard,west,no,low
7,premium,west,no,low
8,premium,north,no,medium
9,standard,west,no,medium
10,premium,west,no,low
11,standard,west,no,medium
12,standard,south,no,low
13,standard,west,yes,high
14,standard,west,no,medium
15,basic,west,no,low
16,premium,south,no,medium
17,premium,north,no,low
18,basic,east,no,low
19,premium,west,no,medium
20,basic,north,no,high
21,basic,west,yes,low
22,standard,south,no,low
23,basic,north,no,low
24,premium,south,yes,high
25,premium,west,no,high
26,standard,west,no,medium
27,basic,south,no,high
28,basic,east,no,medium
29,standard,south,no,medium
30,premium,west,no,high
31,standard,south,no,medium
32,basic,east,no,high
33,standard,south,no,medium
34,standard,east,no,high
35,standard,east,no,high
36,basic,south,no,medium
37,standard,south,no,low
38,standard,north,no,medium
39,premium,west,no,high
40,basic,east,yes,low
41,standard,north,no,medium
42,premium,south,yes,medium
43,basic,west,no,medium
44,premium,north,no,low
45,standard,east,no,high
46,basic,north,no,medium
47,basic,east,no,medium
48,standard,south,no,medium
49,basic,west,no,medium
50,standard,west,no,medium
51,basic,west,no,high
52,standard,south,yes,high
53,basic,east,no,medium
54,premium,south,no,low
55,premium,west,no,high
56,premium,south,no,low
57,standard,south,no,high
58,basic,south,no,medium
59,standard,east,no,high
60,basic,north,no,medium
61,basic,north,yes,high
62,basic,south,no,medium
63,basic,north,no,medium
64,standard,north,no,medium
65,standard,south,no,medium
66,basic,south,no,low
67,basic,west,no,medium
68,premium,north,no,low
69,basic,east,no,low
70,basic,south,no,medium
71,basic,west,no,low
72,standard,east,yes,high
73,standard,north,yes,medium
74,basic,west,yes,low
75,basic,south,no,medium
76,standard,east,no,medium
77,standard,south,no,medium
78,basic,north,no,low
79,premium,east,yes,high
80,basic,north,no,high
81,basic,north,no,low
82,premium,west,yes,medium
83,basic,south,no,low
84,standard,east,no,low
85,basic,north,no,low
86,basic,north,no,medium
87,premium,east,no,low
88,basic,north,no,medium
89,premium,west,no,low
90,basic,west,no,high
91,basic,west,no,low
92,basic,west,no,low
93,standard,north,no,high
94,basic,east,yes,medium
95,premium,east,yes,medium
96,basic,east,no,low
97,premium,east,yes,high
98,basic,south,no,medium
99,premium,east,no,low
100,standard,south,yes,high
101,standard,south,no,medium
102,premium,west,no,medium
103,standard,south,no,high
104,standard,north,no,high
105,basic,south,no,high
106,basic,west,no,high
107,premium,south,yes,low
108,standard,north,no,high
109,standard,north,no,medium
110,basic,north,no,medium
111,basic,west,no,low
112,basic,west,no,medium
113,standard,east,no,medium
114,basic,west,no,high
115,basic,north,no,medium
116,basic,north,no,low
117,basic,west,no,high
118,standard,south,no,high
119,basic,west,no,low
120,standard,west,no,high
121,basic,north,no,high
122,basic,east,no,low
123,basic,north,no,high
124,basic,east,no,low
125,basic,north,no,low
126,basic,west,yes,medium
127,standard,north,no,medium
128,basic,north,no,high
129,standard,north,no,high
130,premium,west,yes,low
131,standard,west,no,high
132,basic,west,no,low
133,basic,west,no,low
134,basic,east,yes,high
135,basic,east,yes,low
136,premium,south,no,medium
137,basic,west,no,high
138,basic,east,no,medium
139,standard,north,no,high
140,standard,west,no,low
141,standard,south,no,high
142,basic,south,no,medium
143,basic,south,no,low
144,standard,north,yes,high
145,basic,east,no,high
146,basic,north,no,high
147,basic,west,no,medium
148,basic,south,no,medium
149,basic,north,no,high
150,basic,north,no,low
151,standard,east,yes,low
152,standard,east,yes,medium
153,premium,south,no,low
154,basic,north,no,medium
155,basic,north,no,high
156,basic,east,yes,medium
157,standard,north,yes,medium
158,standard,north,no,high
159,basic,north,yes,low
160,premium,east,no,medium
161,basic,south,no,medium
162,standard,west,no,high
163,standard,south,yes,low
164,premium,west,no,medium
165,standard,north,yes,high
166,premium,south,no,medium
167,basic,west,no,high
168,premium,east,no,low
169,basic,east,no,low
170,premium,south,no,low
171,standard,south,no,low
172,premium,north,no,medium
173,basic,south,no,medium
174,standard,north,no,low
175,standard,north,no,low
176,standard,east,no,low
177,basic,east,no,medium
178,basic,west,no,low
179,basic,east,no,low
180,basic,east,yes,low
181,premium,south,no,high
182,basic,east,no,low
183,premium,west,yes,high
184,basic,south,no,high
185,basic,west,no,low
186,standard,east,no,high
187,standard,west,yes,low
188,basic,south,no,medium
189,standard,north,no,medium
190,standard,west,no,medium
191,basic,west,no,medium
192,premium,south,no,high
193,premium,south,no,low
194,standard,west,no,low
195,basic,east,no,low
196,standard,west,yes,medium
197,basic,south,no,medium
198,basic,north,no,low
199,basic,north,no,medium
200,basic,east,no,low
